1-CdSe,,2-CdMnSe,
波长 (nm),吸光度,波长 (nm),吸光度
686,0.0501130414939474,686,0.00557003881592316
685,0.051836106724416,685,0.00562227240941138
684,0.0536152353763731,684,0.00553535100012182
683,0.055257548091272,683,0.00605921431735766
682,0.0564860744148617,682,0.0056807542175148
681,0.0582158073491536,681,0.00577169202504487
680,0.0597912678918218,680,0.00582132634276396
679,0.0614444441569542,679,0.00576411096110418
678,0.063305591391748,678,0.00613340218365461
677,0.0650703329107878,677,0.00614266999440418
676,0.0669971623318264,676,0.00629788926991789
675,0.0689294840699687,675,0.00581064871412979
674,0.0717793153157301,674,0.00619943636888383
673,0.0742325257589501,673,0.00615162293990484
672,0.0770469100563231,672,0.00630605747771875
671,0.0804402055802404,671,0.00621737104436404
670,0.0840003194185697,670,0.00629479011873613
669,0.0878546408902281,669,0.00645794584095968
668,0.0922658422707278,668,0.00653367344231749
667,0.0967654574639174,667,0.00660042558044337
666,0.102059167475926,666,0.00661422405393445
665,0.107653363690659,665,0.00655798159612086
664,0.113685043170467,664,0.00661898134356764
663,0.119997571343233,663,0.00667457452968323
662,0.126596077339848,662,0.00671082564572676
661,0.133971695038325,661,0.00699715541956068
660,0.141079377253091,660,0.00704508834213348
659,0.148146403574136,659,0.00714994361047605
658,0.155736666994307,658,0.00706897785515581
657,0.163842181627015,657,0.00718773455044633
656,0.1722241821634,656,0.00706418932323365
655,0.180690417654545,655,0.00732950619685182
654,0.18842107801551,654,0.00722558141964673
653,0.19610045874748,653,0.00738792873687072
652,0.203533947150251,652,0.00767578566770395
651,0.210702110822513,651,0.00728717517031992
650,0.217726303195,650,0.00766290190793773
649,0.224139154947478,649,0.00761671848250755
648,0.230118806632168,648,0.00774922249194646
647,0.235533181994687,647,0.00777710380650199
646,0.240247941789618,646,0.00781218199145507
645,0.244856112202482,645,0.00786940425478962
644,0.248303287420438,644,0.00819933706890168
643,0.251826208660691,643,0.00840704481236811
642,0.254398083033119,642,0.00822102141908311
641,0.256376504416162,641,0.00842850199680938
640,0.258161862640533,640,0.00829146345811894
639,0.259580967467509,639,0.00857931283185413
638,0.260209192571795,638,0.00852579842459598
637,0.260937780544111,637,0.00874039746153572
636,0.261441955718955,636,0.00881739589163871
635,0.261698471691245,635,0.00900145499738989
634,0.262073827159736,634,0.00922660143824329
633,0.261568161931586,633,0.00908206817038974
632,0.262112734318172,632,0.00915109022228897
631,0.262169586689372,631,0.00917623273009972
630,0.262215414833813,630,0.00935213880527325
629,0.262567193203165,629,0.00935250909765317
